pageId,url,alias,title,published,recommendedAction
117373586,,,тест софтскилс.,True,move_to_archive_folder_after_ui_gate
117374476,,,тест курс Михаил Ивановича Кумскова,True,move_to_archive_folder_after_ui_gate
119171366,,,Copy of psiholog-moskva-online,True,move_to_archive_folder_after_ui_gate
90265106,https://moonn.ru/test77,test77,БАЗА - ВАЖНО - тестовая страница,True,move_to_archive_folder_after_ui_gate
45468005,,,Copy of Вы можете стать спокойным и уверенным в себе человеком  в течение 1 месяца,True,move_to_archive_folder_after_ui_gate
135383536,,,Copy of БАЗА - ВАЖНО - тестовая страница,True,move_to_archive_folder_after_ui_gate
45296765,,,"Летний Лагерь для Подростков по ПСИХОЛОГИИ - Школа ПРАКТИЧЕСКОЙ Психологии для ПОДРОСТКОВ в Москве, 12-16 августа  - 13-17 лет",True,move_to_archive_folder_after_ui_gate
44556925,https://moonn.ru/shkolapsihologii,shkolapsihologii,"Летний Городской Лагерь в Москве (13-17 лет) - Школа ПРАКТИЧЕСКОЙ Психологии для ПОДРОСТКОВ, 12-16 августа с 10.00 до 18.00",True,move_to_archive_folder_after_ui_gate
